,ATR,MACD_Line,Signal_Line,MACD_Histogram,Daily_Return,Upper_Band,Lower_Band,Simple_Moving_Avg,Adj Close,prediction
0,0.48822784423828736,0.24001826629026368,0.2433076897149109,-0.00328942342464722,0.12974781397181445,189.88057400711838,188.33837435713943,189.1094741821289,189.54010009765625,189.47006026156532
1,0.4946561540876177,0.251425376083489,0.24493122698862654,0.006494149094862484,0.06584444963249059,189.9505717600743,188.33636671648821,189.14346923828126,189.66490173339844,189.4922863980906
2,0.49251338413784296,0.2794499828914354,0.2518349781691883,0.027615004722247094,0.14509393052017927,190.0623573350897,188.3425910902033,189.2024742126465,189.94009399414065,189.76545705352277
3,0.4885853358677516,0.2742827977485547,0.2563245420850616,0.017958255663493072,-0.15799434346993602,190.10948113074048,188.36446753869316,189.23697433471682,189.63999938964844,189.42484320809314
4,0.49144199916295456,0.2801987447197405,0.2610993826119974,0.0190993621077431,0.08652869547893793,190.17657704241685,188.38179087750507,189.27918395996096,189.80409240722656,189.74254507154194
5,0.42929949079241475,0.29288167381938024,0.26745584085347396,0.02542583296590628,0.07424229646737501,190.2578061375426,188.40356318618794,189.33068466186526,189.94500732421875,189.83391764877427
6,0.41037205287389,0.2903540031532543,0.27203547331343003,0.018318529839824294,-0.06023343387773217,190.29212363954372,188.48030525449923,189.38621444702147,189.83059692382807,189.71181786300437
7,0.3793007986886242,0.2977811099783878,0.2771846006464216,0.020596509331966217,0.08397411793421572,190.33684693952324,188.56258238176582,189.44971466064453,189.9900054931641,189.95349235585758
8,0.3736724853515686,0.2842511616596255,0.2785979128490624,0.005653248810563116,-0.10527512040020559,190.30110711610797,188.72282171689983,189.5119644165039,189.7899932861328,189.72712143540454
9,0.35635049002511565,0.2652272826066735,0.2759237868005846,-0.010696504193911105,-0.03424162754420701,190.22925054815096,188.90917871210297,189.56921463012696,189.7250061035156,189.76456782216678
10,0.3406361171177496,0.24490693591070567,0.2697204166226088,-0.024813480711903146,-0.015811716079472404,190.14746983327325,189.0874605866486,189.61746520996093,189.69500732421875,189.7447246958548
11,0.33849334716797486,0.23736351660900823,0.26324903661988874,-0.025885520010880514,0.07380235865099838,190.13811337683967,189.16731722618766,189.65271530151367,189.8350067138672,189.8622766995834
12,0.3031354631696469,0.2443033555196621,0.25945990039984346,-0.015156544880181366,0.10271660048644105,190.18347508694913,189.18295557711335,189.68321533203124,190.02999877929688,189.98604624156314
13,0.28321293422154625,0.24416415249766033,0.25640075081940683,-0.012236598321746506,-0.01842007174353011,190.2201866563658,189.1847434583803,189.70246505737305,189.9949951171875,189.89135167842002
14,0.2731770106724371,0.23449264770218292,0.25201913019596206,-0.01752648249377914,-0.04473352312556189,190.23215410843923,189.22477643355293,189.72846527099608,189.91000366210935,189.85533981460352
15,0.26353345598493305,0.2178610645708261,0.24518751707093486,-0.02732645250010876,-0.04212618056550488,190.23754652097014,189.2263847534439,189.73196563720703,189.8300018310547,189.8001725383272
16,0.2631410871233198,0.18762918598099532,0.23367585085294695,-0.04604666487195164,-0.09719711086975114,190.23772632443186,189.23075359500174,189.7342399597168,189.6454925537109,189.62450160068147
17,0.2602767944335897,0.155783403126577,0.218097361307673,-0.062313958181095974,-0.03980333435595895,190.23801020649267,189.22847081157374,189.7332405090332,189.57000732421875,189.57649325044366
18,0.2581274850027902,0.130165369074831,0.2005109628611046,-0.07034559378627359,0.007324733613112144,190.13640662746573,189.3894631235108,189.76293487548827,189.5838928222656,189.58852784482468
19,0.2613416399274574,0.12066507627102396,0.18454178554308848,-0.06387670927206451,0.07970497168114932,190.08729398895892,189.4826263601622,189.78496017456055,189.7350006103516,189.7046701685454
20,0.25919778006417615,0.13099246368548734,0.17383192117156826,-0.04283945748608092,0.12649510759319416,190.09721540002712,189.5161955496799,189.80670547485352,189.9750061035156,189.88359964643672
21,0.2534833635602699,0.145463943510606,0.16815832563937583,-0.02269438212876984,0.05195096432974999,190.1327777858975,189.5215129855869,189.8271453857422,190.07369995117188,189.93240312481103
22,0.231339590890069,0.15086817613314452,0.16470029573812958,-0.013832119604985066,-0.02820175857592977,190.14498603299654,189.51730492159328,189.8311454772949,190.0200958251953,189.8998086873964
23,0.23098318917410918,0.1589590753415564,0.16355205165881495,-0.004592976317258551,0.03678585277613333,190.1742360876013,189.53305456181272,189.853645324707,190.08999633789065,190.04344419664727
24,0.23062569754464488,0.1618920343105401,0.16322004818916,-0.001328013878619888,-0.010515552662948568,190.20066615848964,189.53321598262357,189.8669410705566,190.07000732421875,190.02425759217053
25,0.2273679460797991,0.17474853936622026,0.16552574642457207,0.009222792941648184,0.08180515313056524,190.2501898034067,189.51174104376125,189.88096542358397,190.2254943847656,190.20139682298412
26,0.22646767752511363,0.18997010722600294,0.17041461858485826,0.019555488641144675,0.04705365962125452,190.3210982065611,189.4892731923647,189.9051856994629,190.31500244140625,190.25343667199252
27,0.23202514648437703,0.21688164054074832,0.1797080229760363,0.03717361756471202,0.1129686756864201,190.43277188592728,189.43159884161176,189.93218536376952,190.52999877929688,190.4628739535868
28,0.23348999023437703,0.2327022746157752,0.19030687330398408,0.04239540131179112,-0.018371732710664723,190.52221800481433,189.41265290583019,189.96743545532226,190.4949951171875,190.39926287455106
29,0.23741912841797078,0.23726010057816893,0.19969751875882105,0.03756258181934788,-0.03412291297535397,190.58166925878015,189.42370030909092,190.00268478393554,190.42999267578125,190.40084217915472
30,0.2274551391601603,0.23174653281154178,0.20610732156936523,0.02563921124217655,-0.04200313781549392,190.61523956571187,189.4556298800889,190.0354347229004,190.3500061035156,190.36648081418383
